195 500
371 12 6
372 11 6
373 10 9
374 9 5
375 18 1
376 14 10
377 3 7
378 5 6
379 16 3
380 11 3
381 18 7
382 3 3
383 2 3
384 7 10
385 5 7
386 1 5
387 10 9
388 19 2
389 11 8
390 1 9
391 7 10
392 12 1
393 7 10
394 11 1
395 1 9
396 6 3
397 16 3
398 15 3
399 2 1
400 19 3
401 15 8
402 2 10
403 1 10
404 18 7
405 5 4
406 14 3
407 4 9
408 2 8
409 17 9
410 12 2
411 13 3
412 19 3
413 7 4
414 2 5
415 18 5
416 9 10
417 1 1
418 3 1
419 18 8
420 11 5
421 17 6
422 2 9
423 4 3
424 13 1
425 14 3
426 12 9
427 1 4
428 7 10
429 13 2
430 17 9
431 15 9
432 14 1
433 15 3
434 11 10
435 16 4
436 19 4
437 10 1
438 5 4
439 18 9
440 4 5
441 7 6
442 4 2
443 5 5
444 3 9
445 14 5
446 5 4
447 3 8
448 4 3
449 9 8
450 12 7
451 6 6
452 13 1
453 13 3
454 8 10
455 18 6
456 18 4
457 12 8
458 7 6
459 16 2
460 9 1
461 16 8
462 3 8
463 4 8
464 8 9
465 2 4
466 9 5
467 19 9
468 9 10
469 7 9
470 5 8
471 9 6
472 7 2
473 6 1
474 3 4
475 14 8
476 14 4
477 2 2
478 20 3
479 13 8
480 20 2
481 20 6
482 5 9
483 4 7
484 9 1
485 14 1
486 17 2
487 8 6
488 8 3
489 3 3
490 20 2
491 11 2
492 12 7
493 3 1
494 1 1
495 10 4
496 11 2
497 16 6
498 6 1
499 18 10
500 7 6
